Site;Code;Point;Replicate;Alive;Dead;Total;Alive Density;Total Density;Alive/Total;Dry weight (g);Obs
Belle-ile;MBE;1;1;252;2587;2839;16128;181696;0,088763649;183,61;
Belle-ile;MBE;2;1;219;1217;1436;14016;91904;0,152506964;174,47;
Belle-ile;MBE;3;1;220;1312;1532;14080;98048;0,143603133;116,43;
Camaret;MCM;2;1;54;250;304;3456;19456;0,177631579;42,12;
Camaret;MCM;1;1;48;107;155;3072;9920;0,309677419;29,89;
Camaret;MCM;3;1;92;603;695;5888;44480;0,132374101;74,49;
Glenan;MGL;1;1;169;872;1041;10816;66624;0,1623439;171,28;
Glenan;MGL;2;1;418;1449;1867;26752;119488;0,223888591;138,27;
Glenan;MGL;3;1;672;1144;1816;43008;116224;0,370044053;123,83;
Meaban;MME;1;1;121;329;450;7744;28800;0,268888889;47,33;
Meaban;MME;2;1;154;860;1014;9856;64896;0,151873767;76,02;
Meaban;MME;3;1;184;866;1050;11776;67200;0,175238095;115,16;
Molene;MMO;1;1;55;354;409;3520;26176;0,134474328;144,5;
Molene;MMO;2;1;207;497;704;13248;45056;0,294034091;129,97;
Molene;MMO;3;1;113;250;363;7232;23232;0,311294766;65,78;
Saint-Brieuc;MPP;1;1;6;249;255;384;16320;0,023529412;155,33;
Saint-Brieuc;MPP;1;2;49;196;245;3136;15680;0,2;117;vitalite marion
Saint-Brieuc;MPP;2;1;3;353;356;192;22784;0,008426966;137,31;
Saint-Brieuc;MPP;2;2;29;608;637;1856;40768;0,045525903;146,21;Vitalite Marion
Saint-Brieuc;MPP;3;1;4;1017;1021;256;65344;0,003917728;207,44;
Saint-Brieuc;MPP;3;2;26;940;966;1664;61824;0,026915114;182,46;vitalite marion
Trevignon;MTR;1;1;208;508;716;13312;45824;0,290502793;329,64;
Trevignon;MTR;2;1;86;193;279;5504;17856;0,308243728;161,71;
Trevignon;MTR;3;1;95;466;561;6080;35904;0,169340463;302,68;
Rozegat;MRZ;1;1;374;499;873;23936;55872;0,428407789;89,72;
Rozegat;MRZ;2;1;346;577;923;22144;59072;0,374864572;89,33;
Rozegat;MRZ;3;1;837;702;1539;53568;98496;0,543859649;237,53;
Keraliou;NBK;1;1;80;248;328;5120;20992;0,243902439;57,85;
Keraliou;NBK;2;1;264;808;1072;16896;68608;0,246268657;141,05;
Keraliou;NBK;3;1;1342;691;2033;85888;130112;0,660108214;277;
Morlaix;MMX;1;1;62;466;528;3968;33792;0,117424242;34,39;
Morlaix;MMX;2;1;314;748;1062;20096;67968;0,29566855;122,81;
Morlaix;MMX;3;1;56;739;795;3584;50880;0,070440252;86,94;